ds,y
1/1/2010,397904220400 
1/1/2011,423078663904 
1/1/2012,428539959340 
1/1/2013,453082711064 
1/1/2014,488240409971 
1/1/2015,548190828914 
1/1/2016,571229555606 
1/1/2017,596434360108 
1/1/2018,611976826895 
1/1/2019,614908690223 
1/1/2020,678892781237 
1/1/2021,740285561048 
1/1/2022,823865414079 
