ds,y
10/1/2014,64270142 
10/1/2015,71409679 
10/1/2016,72863897 
10/1/2017,75101541 
10/1/2018,73049752 
10/1/2019,71697897 
10/1/2020,71449016 
10/1/2021,81785672 
